timestamp,county,callsign
2025-10-18 1400,FRA,WW2Y
2025-10-18 1400,SAR,WA3INC
2025-10-18 1400,ONE,VE3TM
2025-10-18 1400,ONE,VE3TM
2025-10-18 1400,NAS,K2PTC
2025-10-18 1401,FRA,WW2Y
2025-10-18 1401,FRA,WW2Y
2025-10-18 1401,ONE,VE3TM
2025-10-18 1401,ONE,VE3DQN
2025-10-18 1401,WAR,NQ2W
2025-10-18 1401,WAR,NQ2W
2025-10-18 1401,WAR,NQ2W
2025-10-18 1402,FRA,WW2Y
2025-10-18 1402,FRA,WW2Y
2025-10-18 1402,ONE,VE3TM
2025-10-18 1402,ONE,VE3TM
2025-10-18 1402,ONE,VE3DQN
2025-10-18 1402,ONE,VE3DQN
2025-10-18 1403,SAR,WA3INC
2025-10-18 1403,ONE,VE3TM
2025-10-18 1403,ONE,VE3TM
2025-10-18 1403,WAR,NQ2W
2025-10-18 1403,MON,NN2L
2025-10-18 1403,ERI,W2E
2025-10-18 1403,ERI,W2E/WB2ELW
2025-10-18 1404,FRA,WW2Y
2025-10-18 1404,FRA,WW2Y
2025-10-18 1404,ONE,VE3TM
2025-10-18 1404,WAR,NQ2W
2025-10-18 1404,ERI,W2E
2025-10-18 1404,ERI,W2E/WB2ELW
2025-10-18 1405,FRA,WW2Y
2025-10-18 1405,FRA,WW2Y
2025-10-18 1405,ONE,VE3TM
2025-10-18 1405,ONE,VE3DQN
2025-10-18 1405,WAR,NQ2W
2025-10-18 1405,WAR,NQ2W
2025-10-18 1405,WAR,NQ2W
2025-10-18 1405,MON,NN2L
2025-10-18 1406,FRA,WW2Y
2025-10-18 1406,FRA,WW2Y
2025-10-18 1406,FRA,WW2Y
2025-10-18 1406,FRA,WW2Y
2025-10-18 1406,SAR,WA3INC
2025-10-18 1406,ONE,VE3TM
2025-10-18 1406,ONE,VE3DQN
2025-10-18 1406,ONE,VE3DQN
2025-10-18 1406,WAR,NQ2W
2025-10-18 1406,WAR,NQ2W
2025-10-18 1406,WAR,NQ2W
2025-10-18 1406,NIA,KD2EFR
2025-10-18 1406,ERI,W2E
2025-10-18 1406,ERI,W2E/WB2ELW
2025-10-18 1407,FRA,WW2Y
2025-10-18 1407,FRA,WW2Y
2025-10-18 1407,SAR,WA3INC
2025-10-18 1407,ONE,VE3TM
2025-10-18 1407,ONE,VE3TM
2025-10-18 1407,ONE,VE3DQN
2025-10-18 1407,WAR,NQ2W
2025-10-18 1407,MON,NN2L
2025-10-18 1407,ERI,W2E
2025-10-18 1407,ERI,W2E
2025-10-18 1407,ERI,W2E/WB2ELW
2025-10-18 1407,ERI,W2E/WB2ELW
2025-10-18 1408,FRA,WW2Y
2025-10-18 1408,ONE,VE3TM
2025-10-18 1408,ONE,VE3DQN
2025-10-18 1408,ONE,VE3DQN
2025-10-18 1408,WAR,NQ2W
2025-10-18 1408,WAR,NQ2W
2025-10-18 1408,NAS,K2PTC
2025-10-18 1408,ERI,W2E
2025-10-18 1408,ERI,W2E
2025-10-18 1408,ERI,W2E
2025-10-18 1408,ERI,W2E/WB2ELW
2025-10-18 1408,ERI,W2E/WB2ELW
2025-10-18 1408,ERI,W2E/WB2ELW
2025-10-18 1409,FRA,WW2Y
2025-10-18 1409,FRA,WW2Y
2025-10-18 1409,FRA,WW2Y
